case_id,model,condition,flip_rate,self_consistency_rate,score_variance,score_sd,rubric_profile_distance,R_valid
CASE_KS_023,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_024,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_024,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_025,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_KS_025,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_001,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_001,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_002,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_002,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_003,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_003,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_004,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_004,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_005,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_005,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.02370370370370371,10
CASE_SYN_006,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_006,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_007,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_007,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_008,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_008,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_009,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_009,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_010,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_010,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_011,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.013333333333333336,10
CASE_SYN_011,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_012,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_012,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_013,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.023703703703703703,10
CASE_SYN_013,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_014,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_014,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_015,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_015,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_016,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_016,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_017,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_017,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_018,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_018,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_019,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_019,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_020,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_020,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_021,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_021,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_022,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.07111111111111111,10
CASE_SYN_022,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_023,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_023,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_024,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_024,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_025,models/Meta-Llama-3-8B-Instruct,C1,0.0,1.0,0.0,0.0,0.0,10
CASE_SYN_025,models/Mistral-7B-Instruct-v0.3,C1,0.0,1.0,0.0,0.0,0.0,10
